Breakfast,Quantity,Calories,Fats,Proteins,Carbohydrates,Calcium,Iron,Potassium,Sodium,Fibre,Sugars
1,150,5.79,499,212,216,2.69,0.037,7.33,0.01,,
1,100,0.52,2,3,138,0.06,0.001,1.07,0.01,,
1,153,1.6,147,20,85,0.12,0.006,4.85,0.07,,
1,72,5.19,340,23,580,0.18,0.0125,5.36,0.06,7.7,35
1,118,0.89,3,11,228,0.05,0.003,3.58,0.01,,
1,171,1.55,52,55,216,0.61,0.02,3.58,4.22,,
1,148,3.49,4,140,770,1.9,0.068,0.77,2.98,13,46
1,172,1,0,6,17,0,0.02,3,4,7.5,
1,150,0.43,5,14,96,0.29,0.006,1.62,0.01,,
1,190,0.57,3,7,145,0.06,0.003,0.77,0.01,,
1,180,0.93,1,20,216,0.05,0.004,3.91,0.05,,
1,50,4.07,62,44,840,0.17,0.0381,0.51,4.57,2.9,55
1,125,5.53,439,182,302,0.37,0.067,6.6,0.12,,
1,28,3.84,9,59,880,0.02,0.194,1.07,5.71,2.7,7.8
1,172,4.86,310,170,420,6.31,0.0772,4.07,0.16,34,0
1,82,0.02,0,3,2,0.02,0.0002,0.5,0.01,0,0
1,165,0.96,15,34,210,0.03,0.005,2.18,0.01,,
1,244,0.61,33,32,48,1.13,,1.32,0.43,,
1,175,2.77,2,18,750,0.64,0.009,6.96,0.01,,
1,100,1.68,37,45,290,0.007,0.08,0.76,0.94,0.9,0.1
1,20,1.96,150,140,8,0.62,0.0189,1.52,2.07,0,0.4
1,60,1.43,95,126,7,0.56,0.018,1.38,1.42,0,
1,150,5.34,422,183,289,2.55,0.057,8.13,0.3,,
1,249,0.77,2.12,3.42,11.04,2.57,0.014,2.31,0.85,0.4,
1,151,0.57,5,8,139,0.37,0.003,2.03,0.01,,
1,245,0,0,0,0,0.01,,0.19,0.07,,
1,20,3.04,0,3,824,0.06,0.004,0.52,0.04,,
1,39,1.56,17,50,302,0.04,0.172,0.63,2.07,2.1,0.74
1,150,0.6,4,8,150,0.11,0.002,1.68,0.01,,
1,152,0.36,1,5,91,0.06,0.002,2.28,0.18,,
1,245,0.97,69,38,52,1.69,0.0012,1.78,0.52,0,0
1,174,3.78,4.22,11.02,72.85,0.08,0.031,1.95,0.05,8.5,
1,80,3.89,6.9,16.89,66.27,0.54,0.04,4.29,0.02,10.6,
1,140,0.46,2,7,115,0.43,0.001,1.69,,,
1,248,0.45,2,7,100,0.11,0.002,2,0.01,0.2,8.4
1,178,0.57,1,4,150,0.09,0.0018,1.16,0.01,3.1,9.8
1,100,1.3,15,26,269,0.01,0.0316,1.17,2.01,1.1,0.5
1,125,4.29,95,130,730,0.11,0.0228,2.41,4.9,14,0.5
1,165,0.5,1,5,131,0.13,0.003,1.09,0.01,,
1,16,5.98,514,222,223,0.49,0.017,5.58,0.17,,
1,170,0.83,12,17,187,0.1,0.003,2.36,0.03,,
1,123,0.52,7,12,119,0.25,0.007,1.51,0.01,,
1,166,0.32,3,7,77,0.16,0.004,1.53,0.01,,
1,133,5.84,515,208,200,0.78,0.053,6.45,0.09,,
1,160,0.9,2,20,207,0.38,0.007,4.75,0.36,,
1,190,0.01,0,0,2,0.02,0.0008,0.009,0.001,0,0
1,123,0.18,2,9,39,0.1,0.003,2.37,0.05,,
1,88,1.88,72,44,264,0.064,0.24,0.91,5.22,2.2,0.24
1,115,6.54,652,152,137,0.98,0.029,4.41,0.02,,
1,152,0.3,2,6,76,0.07,0.002,1.12,0.01,,
1,45,2.67,32,107,487,1.33,0.035,1.77,5.08,,
1,245,0.61,33,35,47,1.21,0.001,1.55,0.46,0,
