Lunch,Quantity,Calories,Fats,Proteins,Carbohydrates,Calcium,Iron,Potassium,Sodium,Fibre,Sugars
1,100,2.5,15,100,490,0.2,0.0279,1.65,4.39,4.1,
1,184,3.52,1.16,9.02,77.7,0.29,0.025,2.8,0.1,7.9,
1,171,1.55,52,55,216,0.61,0.02,3.58,4.22,,
1,180,0.93,1,20,216,0.05,0.004,3.91,0.05,,
1,91,0.34,4,28,66,0.47,0.007,3.16,0.33,,
1,158,3.62,27,75,760,0.33,0.018,2.68,0.04,3.4,0
1,100,0.25,3,19,50,0.22,0.004,2.99,0.3,,
1,50,2.97,75,110,460,0.93,0.0301,2.66,4.09,4.9,2.7
1,164,1.64,26,89,274,0.49,0.029,2.91,0.07,,
1,165,0.96,15,34,210,0.03,0.005,2.18,0.01,,
1,128,0.98,43,111,34,0.83,0.001,1.04,3.64,,
1,140,1.09,85,21,63,0.083,0.352,3.66,2.43,1.5,3.29
1,100,1.68,37,45,290,0.007,0.08,0.76,0.94,0.9,0.1
1,82,0.24,0.19,1.01,5.7,0.09,0.0024,2.3,0.02,3.4,
1,60,1.43,95,126,7,0.56,0.018,1.38,1.42,0,
1,39,1.56,17,50,302,0.04,0.172,0.63,2.07,2.1,0.74
1,210,1.16,4,90,201,0.19,0.033,3.69,0.02,0,0
1,174,3.78,4.22,11.02,72.85,0.08,0.031,1.95,0.05,8.5,
1,96,0.22,3,31,33,0.03,0.005,3.18,0.05,1,2
1,75,1.08,2,18,240,0.04,0.0014,0.04,0.19,1,0
1,150,0.32,1,8,76,0.2,0.003,1.19,0.08,,
1,200,0.71,7,22,140,0.13,0.0091,1.92,3.81,0.9,4
1,220,1.26,7,26,280,0.01,0.0025,0.31,0,4.8,0
1,170,0.39,3,9,95,0.06,0.003,1.9,0.05,5.7,5.7
1,170,0.83,12,17,187,0.1,0.003,2.36,0.03,,
1,245,0.18,1,7,43,0.15,0.0057,2.3,2.37,1.1,2.1
1,185,1.2,19,44,213,0.17,0.015,1.72,0.07,,
1,158,1.12,8,23,235,0.1,0.005,0.79,0.01,,
1,30,0.23,4,29,36,0.99,0.027,5.58,0.79,,
1,133,5.84,515,208,200,0.78,0.053,6.45,0.09,,
1,160,0.9,2,20,207,0.38,0.007,4.75,0.36,,
1,123,0.18,2,9,39,0.1,0.003,2.37,0.05,,
1,200,1.87,93,160,94,0.17,0.01,1.78,4.02,0,0
1,88,1.88,72,44,264,0.064,0.24,0.91,5.22,2.2,0.24
1,152,0.3,2,6,76,0.07,0.002,1.12,0.01,,
1,114,5.57,474,283,153,0.54,0.073,6.48,0.99,,
1,186,3.6,6,66,790,0.09,0.0436,0.86,0.001,1.4,0
1,245,0.61,33,35,47,1.21,0.001,1.55,0.46,0,
